Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
20.7,69.3,54.5,Alluvial,Maize,27,43,5,14-35-14
32.3,49.0,60.6,Laterite,Sugarcane,42,12,34,28-28
20.2,63.2,35.7,Alluvial,Pulses,9,12,45,DAP
24.7,40.9,30.0,Clayey,Sugarcane,9,24,34,20-20
24.6,80.8,35.7,Loamy,Wheat,28,24,42,17-17-17
28.4,70.5,37.5,Black,Cotton,27,46,15,20-20
37.5,45.6,25.7,Laterite,Rice,46,40,29,17-17-17
23.3,40.8,36.7,Sandy,Maize,32,11,6,Urea
29.0,79.6,52.0,Laterite,Sugarcane,31,7,10,Urea
33.6,60.6,40.9,Loamy,Rice,3,2,39,DAP
22.9,61.8,54.9,Sandy,Pulses,22,25,43,17-17-17
37.8,50.8,46.2,Black,Cotton,19,10,49,20-20
22.1,72.7,49.8,Alluvial,Groundnuts,25,9,24,20-20
37.6,63.7,61.3,Red,Wheat,30,10,27,28-28
36.9,55.2,54.0,Alluvial,Rice,46,40,30,17-17-17
20.9,40.4,50.2,Black,Maize,10,49,32,10-26-26
33.2,55.9,63.0,Red,Groundnuts,45,5,4,Urea
34.1,60.7,46.9,Clayey,Groundnuts,12,29,30,20-20
35.3,61.7,60.9,Clayey,Wheat,43,16,32,20-20
25.8,69.7,29.4,Red,Maize,3,47,34,10-26-26
37.6,65.6,35.4,Red,Barley,24,18,17,20-20
22.3,40.6,25.6,Loamy,Millets,43,33,28,17-17-17
25.9,82.9,63.7,Red,Rice,7,41,12,10-26-26
32.4,51.1,50.6,Clayey,Barley,38,19,16,20-20
33.4,62.5,25.5,Black,Barley,9,36,35,10-26-26
30.7,50.0,37.9,Loamy,Tobacco,1,47,7,10-26-26
22.9,58.1,60.8,Sandy,Groundnuts,44,35,9,14-35-14
26.0,81.4,64.7,Clayey,Pulses,31,28,24,17-17-17
30.7,44.1,26.3,Alluvial,Millets,34,38,48,17-17-17
30.4,84.7,40.5,Clayey,Tobacco,26,3,17,20-20
36.0,79.5,64.0,Black,Rice,22,10,9,20-20
22.6,83.0,30.9,Alluvial,Pulses,44,28,40,17-17-17
32.4,65.3,42.1,Sandy,Cotton,11,18,25,20-20
36.1,78.1,41.0,Loamy,Millets,13,22,3,20-20
28.0,49.2,48.6,Laterite,Tobacco,40,18,47,20-20
22.1,43.2,27.8,Clayey,Millets,14,36,34,10-26-26
19.9,77.2,26.9,Red,Rice,35,28,33,17-17-17
34.5,63.2,43.5,Black,Barley,22,4,44,20-20
28.6,66.6,27.5,Clayey,Sugarcane,5,9,36,DAP
22.1,40.5,42.5,Loamy,Barley,21,3,46,20-20
31.3,73.4,58.9,Red,Groundnuts,22,29,49,17-17-17
23.1,52.2,30.0,Alluvial,Sugarcane,47,35,46,17-17-17
25.9,66.6,51.4,Clayey,Millets,30,9,41,28-28
28.4,52.1,50.1,Loamy,Maize,21,3,16,20-20
32.3,74.2,29.1,Loamy,Cotton,0,35,24,10-26-26
27.0,47.2,32.2,Alluvial,Rice,38,0,5,Urea
32.6,78.8,36.0,Black,Millets,40,8,28,28-28
31.3,47.1,29.8,Clayey,Groundnuts,48,47,11,14-35-14
24.2,61.7,45.3,Alluvial,Millets,31,17,3,20-20
33.6,45.6,56.9,Red,Rice,32,33,13,14-35-14
29.2,62.5,53.2,Laterite,Millets,32,39,48,17-17-17
28.1,72.3,59.5,Sandy,Wheat,12,34,47,10-26-26
22.5,79.6,57.4,Laterite,Wheat,30,43,3,14-35-14
35.4,70.3,56.9,Black,Millets,6,2,13,20-20
36.1,40.5,52.0,Loamy,Maize,32,11,48,28-28
21.8,58.5,62.4,Red,Sugarcane,4,13,27,20-20
22.9,56.0,28.4,Clayey,Sugarcane,40,21,18,20-20
19.1,56.8,62.8,Red,Sugarcane,12,6,19,20-20
33.6,75.3,49.0,Clayey,Millets,19,23,28,20-20
26.6,84.1,27.7,Loamy,Maize,28,16,9,20-20
29.0,84.1,47.2,Clayey,Maize,17,19,25,20-20
24.9,57.9,35.6,Alluvial,Pulses,9,24,33,20-20
23.7,69.6,63.7,Black,Wheat,42,26,38,17-17-17
23.9,44.1,49.0,Laterite,Groundnuts,19,46,34,10-26-26
30.8,71.7,39.9,Clayey,Maize,26,8,9,20-20
24.3,52.2,48.9,Clayey,Rice,28,0,3,20-20
27.0,67.6,33.5,Black,Wheat,47,21,20,20-20
25.5,42.3,50.1,Black,Cotton,44,6,3,Urea
27.0,83.1,41.0,Alluvial,Rice,44,41,45,17-17-17
20.0,40.4,42.3,Clayey,Groundnuts,34,24,20,20-20
28.3,59.7,64.9,Sandy,Cotton,27,42,16,20-20
22.8,72.1,28.7,Alluvial,Pulses,48,46,22,17-17-17
18.6,56.0,25.6,Loamy,Cotton,42,33,47,17-17-17
27.2,73.0,49.3,Red,Barley,10,17,15,20-20
35.7,57.2,44.7,Black,Millets,12,2,45,DAP
32.9,73.2,45.9,Clayey,Tobacco,45,16,41,20-20
29.7,64.2,35.8,Sandy,Pulses,27,36,32,17-17-17
33.7,60.4,50.2,Black,Pulses,42,39,37,17-17-17
31.0,82.1,27.6,Black,Cotton,33,10,21,20-20
22.0,66.6,41.3,Alluvial,Tobacco,42,3,23,20-20
32.3,40.5,41.4,Loamy,Rice,37,20,37,20-20
21.7,69.9,60.3,Alluvial,Sugarcane,44,19,46,20-20
34.1,40.4,62.0,Red,Wheat,26,22,41,17-17-17
32.9,43.4,59.9,Sandy,Pulses,44,31,45,17-17-17
24.5,55.9,45.2,Sandy,Millets,38,32,15,20-20
36.1,43.5,58.2,Sandy,Rice,38,40,21,17-17-17
31.5,77.7,59.4,Sandy,Groundnuts,2,21,29,20-20
27.2,58.5,53.9,Sandy,Pulses,46,22,47,17-17-17
18.0,72.3,54.3,Loamy,Rice,17,21,29,20-20
24.9,58.6,54.3,Alluvial,Groundnuts,13,46,9,10-26-26
20.4,49.5,37.4,Laterite,Wheat,38,18,46,20-20
33.0,65.7,64.4,Loamy,Groundnuts,8,32,46,10-26-26
31.6,58.5,55.1,Red,Rice,28,33,49,17-17-17
35.4,68.4,46.3,Sandy,Wheat,12,48,47,10-26-26
24.7,46.4,52.7,Sandy,Sugarcane,6,4,12,20-20
31.6,74.8,63.1,Alluvial,Tobacco,0,16,48,20-20
27.5,65.2,50.1,Red,Pulses,31,15,25,20-20
32.5,64.1,58.4,Clayey,Pulses,21,40,15,20-20
24.7,75.6,43.1,Laterite,Wheat,18,1,18,20-20
27.7,40.6,41.4,Sandy,Pulses,39,47,17,20-20
27.6,48.2,54.7,Clayey,Maize,14,48,27,10-26-26
28.3,84.5,34.3,Black,Maize,28,28,41,17-17-17
19.4,72.8,49.3,Red,Wheat,3,30,10,20-20
34.8,56.8,50.3,Clayey,Maize,33,47,14,14-35-14
33.3,66.3,56.3,Laterite,Pulses,44,31,38,17-17-17
20.8,70.2,49.8,Laterite,Tobacco,28,27,6,14-35-14
35.8,73.7,61.3,Loamy,Pulses,22,2,30,20-20
35.8,66.0,50.3,Black,Sugarcane,41,41,11,14-35-14
21.7,67.0,59.5,Red,Groundnuts,29,9,11,20-20
31.9,57.2,57.9,Black,Rice,17,48,31,10-26-26
23.3,82.3,50.5,Alluvial,Groundnuts,0,44,29,10-26-26
23.6,69.5,58.0,Black,Sugarcane,9,14,38,DAP
37.7,75.4,55.9,Loamy,Cotton,19,32,11,10-26-26
27.3,51.9,41.6,Alluvial,Barley,31,14,34,28-28
18.8,70.0,37.9,Laterite,Sugarcane,45,28,39,17-17-17
34.5,78.0,35.0,Sandy,Millets,37,26,47,17-17-17
24.5,73.7,57.3,Laterite,Cotton,9,44,2,10-26-26
18.8,58.5,30.2,Loamy,Wheat,10,10,20,20-20
18.3,40.8,61.7,Red,Sugarcane,48,35,31,17-17-17
28.2,40.2,62.5,Loamy,Millets,4,9,20,20-20
19.4,68.7,54.3,Alluvial,Wheat,1,42,9,10-26-26
29.4,79.1,40.2,Laterite,Pulses,33,4,27,28-28
26.9,62.2,59.4,Red,Sugarcane,41,37,19,20-20
19.1,60.5,52.0,Clayey,Pulses,17,10,22,20-20
28.0,71.1,52.9,Laterite,Sugarcane,40,21,9,14-35-14
30.7,67.0,32.2,Alluvial,Wheat,11,21,21,20-20
27.1,82.7,27.4,Loamy,Maize,49,32,47,17-17-17
32.0,77.7,57.1,Red,Millets,29,2,37,28-28
26.0,46.9,47.9,Black,Barley,37,35,1,14-35-14
32.8,44.3,48.8,Black,Groundnuts,19,28,7,20-20
19.7,67.3,60.2,Black,Barley,15,42,45,10-26-26
37.5,70.8,40.0,Sandy,Millets,22,8,23,20-20
18.6,80.4,49.9,Red,Wheat,7,30,14,20-20
20.6,55.6,42.4,Clayey,Sugarcane,11,16,48,20-20
24.1,64.8,56.6,Clayey,Tobacco,6,33,43,10-26-26
23.4,44.5,31.7,Black,Cotton,36,2,19,20-20
21.3,45.1,25.3,Clayey,Sugarcane,22,10,39,20-20
22.7,45.8,35.3,Sandy,Barley,48,12,35,28-28
21.4,80.4,56.1,Sandy,Cotton,37,22,23,17-17-17
34.6,71.8,49.7,Black,Groundnuts,4,9,37,DAP
24.2,40.1,32.0,Clayey,Barley,22,0,16,20-20
24.1,77.0,27.3,Loamy,Millets,33,21,8,14-35-14
31.3,75.0,59.5,Black,Pulses,14,38,14,10-26-26
36.8,40.7,45.9,Alluvial,Rice,12,8,15,20-20
31.2,45.3,57.0,Red,Groundnuts,15,3,38,20-20
36.1,80.0,57.7,Clayey,Pulses,5,12,18,20-20
27.8,69.0,34.2,Laterite,Pulses,38,24,7,14-35-14
29.4,48.3,36.1,Loamy,Groundnuts,27,44,2,14-35-14
36.1,67.2,48.1,Black,Groundnuts,7,13,5,20-20
25.3,43.9,47.3,Black,Wheat,30,4,28,28-28
18.5,51.4,45.8,Alluvial,Cotton,19,21,38,20-20
30.5,67.0,27.1,Sandy,Cotton,12,35,16,10-26-26
25.0,44.2,44.4,Alluvial,Rice,49,44,26,17-17-17
30.2,81.6,56.4,Clayey,Millets,12,36,38,10-26-26
33.2,47.0,44.5,Laterite,Rice,17,29,16,20-20
33.4,57.9,58.1,Sandy,Millets,12,20,42,20-20
30.9,50.2,51.8,Loamy,Sugarcane,9,30,43,20-20
30.5,52.5,59.1,Loamy,Sugarcane,8,0,46,DAP
27.0,50.7,27.0,Red,Wheat,32,13,44,28-28
21.8,81.5,52.8,Alluvial,Pulses,42,41,39,17-17-17
29.4,69.3,33.4,Red,Wheat,28,20,20,20-20
36.5,56.5,37.7,Loamy,Barley,44,40,7,14-35-14
26.4,53.2,38.3,Red,Rice,1,18,39,20-20
29.9,69.4,32.7,Laterite,Millets,27,37,1,14-35-14
35.7,73.3,36.1,Sandy,Millets,42,12,35,28-28
32.3,71.8,49.9,Black,Cotton,45,34,18,20-20
35.0,44.0,64.7,Red,Barley,32,7,11,Urea
36.6,42.8,28.7,Black,Barley,15,30,11,20-20
37.4,60.1,45.1,Loamy,Barley,23,8,41,20-20
33.1,66.0,61.2,Laterite,Tobacco,4,26,2,20-20
27.2,78.9,35.0,Loamy,Rice,46,22,33,17-17-17
33.1,53.3,37.0,Laterite,Maize,47,24,0,14-35-14
36.8,67.2,59.5,Clayey,Maize,21,32,20,20-20
31.6,82.7,30.5,Clayey,Cotton,14,24,45,20-20
25.8,56.0,26.8,Alluvial,Sugarcane,43,22,46,17-17-17
36.6,76.9,47.7,Red,Cotton,22,39,2,14-35-14
24.5,40.5,58.1,Black,Maize,4,36,44,10-26-26
37.6,49.7,27.7,Red,Barley,47,0,1,Urea
30.3,78.9,33.9,Laterite,Barley,38,12,25,20-20
29.2,51.1,41.9,Loamy,Barley,29,38,8,14-35-14
22.8,46.5,29.6,Sandy,Tobacco,24,0,11,20-20
22.5,67.6,35.1,Clayey,Millets,41,20,41,20-20
27.5,55.8,39.5,Clayey,Rice,46,16,16,20-20
21.1,77.6,39.3,Black,Groundnuts,44,34,5,14-35-14
29.5,74.3,56.3,Sandy,Barley,30,5,34,28-28
19.5,58.9,49.1,Clayey,Sugarcane,46,25,4,14-35-14
21.2,69.5,63.8,Clayey,Cotton,16,13,13,20-20
20.3,67.6,62.5,Laterite,Millets,43,16,34,20-20
22.6,70.7,62.6,Red,Wheat,43,23,39,17-17-17
23.1,44.8,39.2,Loamy,Rice,12,13,5,20-20
25.9,48.2,31.3,Loamy,Sugarcane,27,3,15,20-20
28.4,72.0,28.8,Laterite,Tobacco,7,14,23,20-20
22.4,79.9,62.4,Loamy,Pulses,38,15,41,20-20
33.0,63.9,52.1,Clayey,Wheat,28,33,38,17-17-17
18.2,82.4,34.5,Sandy,Millets,43,28,3,14-35-14
23.0,78.0,44.4,Clayey,Millets,31,36,8,14-35-14
22.3,79.8,47.4,Laterite,Tobacco,41,42,10,14-35-14
24.5,50.5,33.4,Laterite,Rice,31,5,21,20-20
20.6,57.2,49.8,Clayey,Wheat,12,2,41,DAP
21.8,60.7,42.2,Laterite,Pulses,40,22,8,14-35-14
35.7,58.9,44.9,Red,Tobacco,22,24,29,17-17-17
29.3,59.9,56.9,Sandy,Maize,41,29,45,17-17-17
18.3,69.8,49.1,Loamy,Millets,33,34,9,14-35-14
37.0,53.7,35.6,Sandy,Sugarcane,1,41,11,10-26-26
22.3,58.9,25.4,Clayey,Maize,34,15,25,20-20
33.7,53.8,26.6,Alluvial,Groundnuts,11,3,12,20-20
28.9,52.4,53.4,Clayey,Millets,7,46,6,10-26-26
21.9,44.2,41.4,Clayey,Millets,42,16,16,20-20
34.3,81.9,28.8,Laterite,Barley,27,46,28,17-17-17
23.6,54.9,51.5,Clayey,Sugarcane,36,2,28,28-28
28.6,47.3,47.9,Loamy,Cotton,36,28,26,17-17-17
23.4,56.2,41.3,Alluvial,Cotton,15,4,17,20-20
29.7,55.2,57.1,Laterite,Groundnuts,42,35,28,17-17-17
35.9,53.4,34.2,Laterite,Groundnuts,18,5,37,20-20
33.8,46.3,46.8,Loamy,Cotton,49,4,17,20-20
32.8,56.2,51.9,Loamy,Cotton,28,33,43,17-17-17
21.1,84.5,64.1,Alluvial,Tobacco,29,34,30,17-17-17
35.3,53.0,43.7,Sandy,Pulses,1,1,9,20-20
31.3,62.5,50.8,Laterite,Maize,38,42,30,17-17-17
20.6,44.5,49.1,Alluvial,Barley,46,11,49,28-28
27.8,48.8,51.1,Alluvial,Rice,41,1,6,Urea
20.1,45.7,64.2,Laterite,Tobacco,42,44,10,14-35-14
21.0,80.0,62.8,Laterite,Wheat,48,1,15,20-20
25.6,46.5,25.7,Clayey,Groundnuts,9,39,41,10-26-26
31.2,69.4,35.0,Sandy,Rice,15,21,44,20-20
32.0,45.1,64.9,Laterite,Pulses,31,24,25,17-17-17
24.6,60.9,25.5,Laterite,Maize,31,47,33,17-17-17
30.6,59.2,46.9,Loamy,Cotton,23,1,26,20-20
26.0,76.3,48.7,Clayey,Pulses,19,23,38,20-20
28.9,77.8,30.1,Black,Sugarcane,33,21,11,14-35-14
32.3,53.2,46.0,Clayey,Barley,15,24,35,20-20
31.6,82.6,36.8,Sandy,Rice,31,15,44,20-20
24.5,45.7,42.7,Laterite,Sugarcane,13,11,5,20-20
34.7,45.7,30.1,Sandy,Rice,14,16,43,20-20
36.4,69.2,29.1,Clayey,Pulses,22,13,39,20-20
32.2,56.0,35.2,Sandy,Rice,22,39,31,17-17-17
36.0,64.9,57.5,Red,Cotton,30,1,21,20-20
22.5,57.5,44.2,Laterite,Sugarcane,43,31,22,17-17-17
37.5,58.2,28.5,Loamy,Millets,15,19,34,20-20
24.4,61.4,37.7,Alluvial,Wheat,1,19,28,20-20
31.9,56.4,54.5,Sandy,Groundnuts,4,43,26,10-26-26
23.1,76.2,42.0,Sandy,Cotton,18,26,37,20-20
24.2,62.1,56.9,Clayey,Pulses,42,7,18,20-20
28.5,52.7,36.9,Black,Cotton,12,8,27,20-20
34.6,83.9,44.0,Red,Cotton,13,25,10,20-20
36.7,63.5,35.9,Red,Tobacco,5,37,45,10-26-26
21.1,84.0,46.8,Black,Rice,46,10,6,Urea
37.9,71.5,55.8,Sandy,Millets,11,36,42,10-26-26
37.5,77.5,37.1,Alluvial,Sugarcane,3,31,10,10-26-26
27.1,58.6,62.4,Loamy,Rice,22,22,44,17-17-17
29.6,55.6,57.6,Laterite,Maize,28,32,18,20-20
21.2,69.6,64.9,Clayey,Cotton,15,29,45,20-20
35.5,60.3,64.4,Sandy,Cotton,37,46,41,17-17-17
31.0,42.8,57.5,Clayey,Sugarcane,41,21,6,14-35-14
22.0,48.1,35.5,Black,Rice,47,37,49,17-17-17
20.5,57.6,31.5,Alluvial,Cotton,16,42,3,10-26-26
22.3,41.9,39.5,Black,Groundnuts,34,23,7,14-35-14
28.8,43.6,47.6,Laterite,Wheat,13,27,17,20-20
35.4,56.7,49.6,Loamy,Wheat,38,45,47,17-17-17
28.0,49.0,37.6,Loamy,Tobacco,1,11,43,DAP
24.1,48.8,52.1,Black,Cotton,25,25,22,17-17-17
30.1,76.1,43.8,Clayey,Groundnuts,17,36,30,10-26-26
27.6,76.4,63.0,Black,Pulses,26,8,38,28-28
18.3,50.2,47.7,Sandy,Groundnuts,14,38,1,10-26-26
19.1,67.0,61.1,Laterite,Sugarcane,43,36,37,17-17-17
34.7,48.9,42.6,Alluvial,Tobacco,17,48,3,10-26-26
19.4,49.8,62.4,Sandy,Maize,41,20,24,20-20
37.2,64.4,49.2,Red,Millets,27,8,48,28-28
34.4,77.1,56.5,Sandy,Tobacco,31,38,9,14-35-14
30.5,40.6,30.7,Loamy,Tobacco,9,28,27,20-20
25.7,78.5,63.1,Clayey,Wheat,2,7,7,20-20
20.9,62.8,27.5,Black,Millets,44,22,7,14-35-14
29.2,83.2,26.9,Alluvial,Wheat,14,37,6,10-26-26
36.1,63.6,43.0,Alluvial,Maize,9,15,42,20-20
19.5,47.6,30.1,Alluvial,Barley,25,47,45,17-17-17
25.2,84.5,52.4,Laterite,Pulses,42,17,24,20-20
18.1,70.2,50.7,Red,Maize,26,46,31,17-17-17
29.6,41.0,64.5,Laterite,Pulses,47,25,2,14-35-14
32.6,54.2,40.7,Clayey,Barley,12,24,4,20-20
30.4,49.4,48.5,Clayey,Cotton,44,46,49,17-17-17
25.0,75.2,64.7,Loamy,Maize,25,13,45,20-20
22.5,58.0,41.4,Sandy,Groundnuts,21,18,22,20-20
32.6,58.9,48.1,Laterite,Maize,18,48,27,10-26-26
35.8,69.4,43.4,Black,Sugarcane,37,22,12,14-35-14
20.7,70.4,40.8,Clayey,Groundnuts,45,43,7,14-35-14
29.4,59.5,30.1,Loamy,Millets,40,5,0,Urea
31.4,61.8,41.7,Red,Millets,29,42,12,14-35-14
22.9,69.5,33.0,Loamy,Maize,26,43,44,17-17-17
34.5,51.5,43.9,Red,Maize,47,26,19,20-20
31.9,65.5,56.8,Red,Groundnuts,25,47,39,17-17-17
24.3,81.0,27.4,Loamy,Rice,27,1,40,28-28
18.1,62.3,36.4,Black,Pulses,37,44,5,14-35-14
21.5,61.2,28.7,Red,Maize,17,23,48,20-20
30.8,52.4,44.8,Clayey,Wheat,42,24,33,17-17-17
34.2,59.3,55.0,Sandy,Maize,8,41,0,10-26-26
23.4,48.9,34.9,Alluvial,Wheat,33,44,24,17-17-17
26.5,67.7,28.3,Sandy,Groundnuts,38,41,30,17-17-17
32.3,66.1,25.6,Clayey,Tobacco,8,14,30,20-20
35.3,53.9,36.7,Loamy,Cotton,16,14,15,20-20
35.7,60.6,47.6,Alluvial,Wheat,17,1,46,20-20
32.7,49.4,30.3,Black,Cotton,2,45,47,10-26-26
23.1,49.9,30.5,Clayey,Pulses,12,12,35,DAP
36.2,41.8,45.5,Black,Sugarcane,22,39,38,17-17-17
36.7,53.7,56.3,Sandy,Millets,30,30,24,17-17-17
25.9,45.9,51.9,Laterite,Maize,12,27,38,20-20
28.1,54.0,42.1,Loamy,Tobacco,19,18,4,20-20
18.1,63.6,61.9,Red,Groundnuts,23,3,40,20-20
35.9,78.1,32.3,Laterite,Pulses,37,6,35,28-28
19.2,61.9,29.4,Alluvial,Wheat,7,27,17,20-20
35.5,53.6,59.3,Red,Cotton,26,33,9,14-35-14
36.2,44.4,59.1,Alluvial,Cotton,24,45,16,20-20
28.2,45.4,37.5,Red,Barley,2,37,10,10-26-26
19.7,70.7,34.4,Black,Wheat,7,47,19,10-26-26
34.1,84.4,48.9,Red,Groundnuts,7,34,3,10-26-26
24.1,78.7,63.4,Clayey,Wheat,15,6,37,20-20
34.4,70.4,50.4,Alluvial,Millets,35,40,36,17-17-17
33.9,84.2,62.3,Red,Rice,46,13,34,28-28
32.5,45.1,41.3,Laterite,Rice,13,14,49,DAP
31.6,68.4,35.8,Red,Groundnuts,2,12,46,DAP
33.5,57.7,30.6,Black,Pulses,29,12,48,28-28
25.4,56.1,38.8,Black,Rice,33,6,17,20-20
20.4,58.7,27.5,Loamy,Millets,26,16,1,20-20
35.4,63.9,43.7,Clayey,Sugarcane,21,36,34,17-17-17
31.5,46.2,36.1,Black,Maize,1,20,3,20-20
32.9,54.0,58.8,Black,Millets,4,15,19,20-20
29.4,61.5,59.5,Alluvial,Wheat,1,42,8,10-26-26
34.9,73.4,31.7,Clayey,Cotton,37,32,45,17-17-17
36.6,59.4,29.8,Loamy,Maize,3,26,17,20-20
22.7,73.7,61.7,Laterite,Rice,15,22,33,20-20
23.5,68.1,28.2,Black,Maize,12,36,48,10-26-26
28.2,78.8,59.6,Sandy,Millets,29,3,33,28-28
27.7,84.4,55.2,Loamy,Wheat,21,3,0,20-20
35.3,52.0,46.4,Laterite,Rice,8,11,46,DAP
20.4,40.8,61.2,Red,Tobacco,26,7,37,28-28
22.8,50.5,27.7,Clayey,Rice,18,34,21,10-26-26
36.1,62.2,38.2,Red,Groundnuts,33,30,0,14-35-14
37.9,54.2,52.0,Loamy,Maize,14,21,45,20-20
20.5,43.2,61.4,Loamy,Wheat,0,28,20,20-20
21.4,61.4,54.5,Sandy,Groundnuts,15,39,43,10-26-26
33.4,82.1,61.4,Laterite,Tobacco,22,43,6,14-35-14
28.1,79.5,63.1,Loamy,Sugarcane,13,15,13,20-20
32.0,48.7,42.9,Red,Millets,11,21,5,20-20
31.3,45.3,41.1,Laterite,Pulses,18,5,17,20-20
37.0,49.4,35.4,Loamy,Rice,26,32,25,17-17-17
35.1,45.2,53.2,Sandy,Cotton,1,15,32,20-20
25.6,74.9,38.7,Clayey,Millets,14,22,2,20-20
36.8,81.3,60.5,Alluvial,Maize,31,17,30,20-20
24.7,54.1,50.4,Alluvial,Millets,38,6,9,Urea
31.8,64.8,34.7,Black,Tobacco,32,46,9,14-35-14
30.9,67.0,52.8,Red,Tobacco,14,27,26,20-20
27.4,61.3,40.1,Clayey,Rice,49,12,6,Urea
26.2,43.3,48.0,Loamy,Pulses,10,24,9,20-20
19.7,49.1,46.8,Red,Sugarcane,45,16,32,20-20
35.0,57.9,34.8,Sandy,Barley,23,3,8,20-20
21.2,83.5,33.2,Alluvial,Rice,10,20,20,20-20
23.6,43.6,60.1,Loamy,Maize,41,19,47,20-20
24.6,56.7,55.4,Sandy,Sugarcane,30,17,3,20-20
35.6,42.2,35.3,Loamy,Cotton,14,36,27,10-26-26
19.7,61.9,52.7,Red,Millets,45,48,27,17-17-17
21.8,81.3,47.1,Sandy,Maize,43,11,32,28-28
32.5,75.8,58.3,Loamy,Rice,7,6,35,DAP
32.9,60.1,25.8,Sandy,Cotton,15,7,15,20-20
30.4,61.6,51.5,Laterite,Millets,13,25,42,20-20
23.8,73.7,44.3,Clayey,Tobacco,2,25,3,20-20
34.1,53.5,63.5,Clayey,Maize,32,13,12,Urea
26.9,45.6,33.2,Clayey,Barley,35,1,39,28-28
25.2,55.0,40.5,Alluvial,Tobacco,47,19,1,20-20
36.8,62.2,53.0,Red,Cotton,35,15,13,20-20
36.7,63.2,44.9,Black,Wheat,35,17,21,20-20
30.3,54.7,32.7,Red,Cotton,31,18,47,20-20
35.4,44.0,56.1,Laterite,Groundnuts,4,14,10,20-20
32.8,75.5,29.8,Black,Wheat,2,5,28,20-20
18.8,54.5,47.4,Black,Rice,7,23,41,20-20
37.1,72.4,62.2,Loamy,Wheat,43,33,45,17-17-17
32.5,45.5,37.1,Black,Pulses,0,38,11,10-26-26
21.3,57.1,49.7,Black,Cotton,3,4,17,20-20
20.4,72.5,32.4,Black,Wheat,10,8,11,20-20
24.7,63.4,32.9,Black,Maize,19,7,47,20-20
25.7,62.8,59.2,Sandy,Cotton,49,21,20,20-20
24.9,82.0,61.9,Laterite,Sugarcane,6,0,8,20-20
34.7,78.8,37.6,Clayey,Tobacco,9,16,5,20-20
19.3,54.6,51.9,Black,Wheat,20,20,5,20-20
27.2,61.4,56.3,Clayey,Pulses,27,11,31,28-28
23.1,77.3,40.1,Red,Tobacco,41,24,25,17-17-17
26.0,59.1,40.3,Black,Millets,30,39,6,14-35-14
23.0,44.5,40.7,Sandy,Rice,19,49,34,10-26-26
24.6,54.2,29.3,Black,Groundnuts,43,22,9,14-35-14
37.3,83.7,59.6,Alluvial,Cotton,46,39,12,14-35-14
35.0,70.8,36.6,Laterite,Pulses,22,0,15,20-20
19.1,61.9,61.5,Black,Barley,4,29,25,20-20
24.3,49.9,45.6,Sandy,Groundnuts,11,10,1,20-20
35.2,71.3,25.4,Sandy,Maize,6,25,25,20-20
20.5,66.2,55.7,Laterite,Barley,31,36,14,14-35-14
36.0,68.1,30.3,Red,Sugarcane,49,41,14,14-35-14
31.4,58.1,36.9,Loamy,Barley,14,35,47,10-26-26
27.5,50.2,49.7,Clayey,Sugarcane,36,28,22,17-17-17
21.0,84.3,33.4,Sandy,Sugarcane,22,29,15,20-20
18.4,41.5,42.8,Loamy,Cotton,36,32,47,17-17-17
26.1,68.6,49.8,Laterite,Pulses,34,33,4,14-35-14
26.9,62.0,57.5,Sandy,Maize,10,37,41,10-26-26
24.6,71.5,55.6,Sandy,Cotton,9,14,42,DAP
19.3,57.4,36.3,Loamy,Groundnuts,11,30,3,20-20
37.5,57.0,57.1,Laterite,Maize,2,17,8,20-20
22.4,54.7,55.2,Clayey,Wheat,3,40,28,10-26-26
23.8,81.6,34.2,Loamy,Maize,33,0,41,28-28
20.4,82.9,59.6,Black,Millets,45,38,41,17-17-17
24.8,75.8,28.1,Alluvial,Tobacco,8,6,3,20-20
36.7,45.9,56.9,Black,Millets,46,46,30,17-17-17
28.3,78.6,43.7,Red,Barley,25,46,15,20-20
25.7,83.5,52.9,Clayey,Cotton,21,49,49,17-17-17
19.4,64.7,41.7,Laterite,Millets,30,30,43,17-17-17
21.2,42.8,57.9,Loamy,Tobacco,15,20,36,20-20
34.8,69.3,49.6,Black,Rice,13,35,35,10-26-26
37.5,49.1,25.4,Laterite,Cotton,3,1,33,DAP
37.8,61.8,32.2,Loamy,Sugarcane,4,9,9,20-20
37.7,42.3,28.9,Red,Groundnuts,27,38,48,17-17-17
18.8,41.0,56.0,Clayey,Sugarcane,30,37,39,17-17-17
29.2,45.0,49.4,Laterite,Wheat,28,48,42,17-17-17
23.0,62.9,61.4,Black,Cotton,6,20,26,20-20
28.2,60.4,36.1,Clayey,Barley,27,20,4,20-20
23.7,52.6,41.2,Loamy,Maize,0,2,44,DAP
25.8,60.1,54.2,Sandy,Tobacco,44,44,37,17-17-17
24.3,43.9,37.1,Laterite,Millets,47,5,22,20-20
29.4,80.9,25.2,Sandy,Wheat,1,18,18,20-20
29.4,67.5,62.7,Loamy,Barley,8,26,16,20-20
31.8,73.7,33.5,Loamy,Maize,17,16,6,20-20
19.9,42.5,30.2,Laterite,Millets,29,3,11,20-20
22.5,64.5,52.8,Sandy,Barley,17,18,41,20-20
35.0,76.8,25.5,Alluvial,Maize,0,31,14,10-26-26
